"name","dg_rank"
"Patrick Newcomb",475
"Miguel Tabuena",476
"Joe Highsmith",477
"Adam Wallin",478
"Tripp Kinney",479
"Yubin Jang",480
"Ryder Cowan",481
"Josiah Gilbert",482
"Will Enefer",483
"Harry Takis",484
"Theo Humphrey",485
"Ivan Cantero Gutierrez",486
"Luke Potter",487
"Runchanapong Youprayong",488
"Tom Whitney",489
"Rayhan Thomas",490
"Mason Williams",491
"Ben Campbell",492
"Caden Fioroni",493
"Daniel Summerhays",494
"Troy Merritt",495
"Kevin Dougherty",496
"Charlie Lindh",497
"Graham Van Der Merwe",498
"Will Gordon",499
"Tatsunori Shogenji",500
